Belief State,Depth,Wining Ratio
1,1,0.3693379790940767
1,2,0.3055555555555556
1,3,0.3523489932885906
1,4,0.31141868512110726
1,5,0.3142857142857143
1,6,0.3176895306859206
1,7,0.37037037037037035
1,8,0.339041095890411
1,9,0.36551724137931035
1,10,0.34035087719298246
1,11,0.314878892733564
1,12,0.4181184668989547
1,13,0.3546099290780142
1,14,0.25886524822695034
1,15,0.34965034965034963
1,16,0.3546099290780142
1,17,0.39464882943143814
1,18,0.3493150684931507
1,19,0.3381818181818182
1,20,0.36454849498327757
2,1,0.32989690721649484
2,2,0.3254237288135593
2,3,0.34459459459459457
2,4,0.33221476510067116
2,5,0.36824324324324326
2,6,0.37943262411347517
2,7,0.3771626297577855
2,8,0.3561643835616438
2,9,0.26523297491039427
2,10,0.32673267326732675
2,11,0.3159722222222222
2,12,0.3310104529616725
2,13,0.3460207612456747
