Belief State,Depth,Wining Ratio
1,1,0.33451957295373663
1,2,0.352112676056338
1,3,0.3447098976109215
1,4,0.3920265780730897
1,5,0.3141891891891892
1,6,0.37410071942446044
1,7,0.3311036789297659
1,8,0.3879003558718861
1,9,0.32978723404255317
1,10,0.3443708609271523
1,11,0.3116438356164384
1,12,0.36082474226804123
1,13,0.3614864864864865
1,14,0.35714285714285715
1,15,0.3127147766323024
1,16,0.3271375464684015
1,17,0.3401360544217687
1,18,0.2918149466192171
1,19,0.4035714285714286
1,20,0.33447098976109213
2,1,0.33220338983050846
2,2,0.3240418118466899
2,3,0.3835616438356164
2,4,0.2857142857142857
2,5,0.33774834437086093
2,6,0.3754646840148699
