Belief State,Depth,Wining Ratio
1,1,0.1448087431693989
1,2,0.10684931506849316
1,3,0.14864864864864866
1,4,0.14594594594594595
1,5,0.13421052631578947
1,6,0.1742627345844504
1,7,0.12594458438287154
1,8,0.193717277486911
1,9,0.14207650273224043
1,10,0.1487603305785124
1,11,0.12060301507537688
1,12,0.15759312320916904
1,13,0.13541666666666666
1,14,0.16539440203562342
1,15,0.12928759894459102
1,16,0.18983957219251338
1,17,0.12332439678284182
1,18,0.21558441558441557
1,19,0.11716621253405994
1,20,0.10406091370558376
2,1,0.18110236220472442
2,2,0.11382113821138211
2,3,0.125
2,4,0.13527851458885942
2,5,0.1565934065934066
2,6,0.1931216931216931
2,7,0.128
2,8,0.21485411140583555
2,9,0.11811023622047244
2,10,0.16666666666666666
2,11,0.09269662921348315
2,12,0.15206185567010308
2,13,0.16795865633074936
2,14,0.0921409214092141
2,15,0.13930348258706468
2,16,0.14775725593667546
2,17,0.10443864229765012
2,18,0.22279792746113988
2,19,0.13736263736263737
