Belief State,Depth,Wining Ratio
1,1,0.3299319727891156
1,2,0.29642857142857143
1,3,0.31802120141342755
1,4,0.37373737373737376
1,5,0.29692832764505117
1,6,0.33116883116883117
1,7,0.3903225806451613
1,8,0.3321678321678322
1,9,0.3470790378006873
1,10,0.3787375415282392
1,11,0.30927835051546393
1,12,0.30313588850174217
1,13,0.31313131313131315
1,14,0.3423728813559322
1,15,0.3602693602693603
1,16,0.3515358361774744
1,17,0.37543859649122807
1,18,0.34121621621621623
1,19,0.34519572953736655
1,20,0.3367003367003367
2,1,0.3163265306122449
2,2,0.3576388888888889
2,3,0.3344947735191638
2,4,0.32081911262798635
2,5,0.30847457627118646
2,6,0.3333333333333333
2,7,0.28776978417266186
2,8,0.31596091205211724
2,9,0.3838383838383838
2,10,0.33774834437086093
2,11,0.3192982456140351
2,12,0.3706293706293706
2,13,0.36585365853658536
2,14,0.3225806451612903
