#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,741,740,40,60,69,155,100
1,2,1518,1505,27,73,50,149,100
1,3,2281,2268,23,77,37,141,100
1,4,3009,2990,34,66,67,160,100
1,5,3785,3754,32,68,57,152,100
1,6,4543,4505,33,67,49,151,100
2,1,5284,5244,34,66,61,154,100
2,2,6073,6037,34,66,48,135,100
2,3,6844,6815,30,70,47,141,100
2,4,7605,7571,36,64,59,152,100
2,5,8384,8348,33,67,50,141,100
2,6,9166,9127,33,67,54,142,100
3,1,9948,9904,37,63,64,144,100
3,2,10679,10629,30,70,52,159,100
3,3,11451,11399,34,66,58,145,100
3,4,12213,12161,35,65,57,146,100
3,5,12987,12926,33,67,49,146,100
3,6,13758,13692,36,64,59,139,100
4,1,14526,14446,27,73,43,146,100
4,2,15301,15223,32,68,53,146,100
4,3,16047,15967,25,75,44,149,100
4,4,16812,16720,28,72,44,142,100
4,5,17590,17493,34,66,53,145,100
4,6,18377,18275,25,75,41,138,100
5,1,19143,19037,35,65,56,153,100
5,2,19907,19798,31,69,54,145,100
5,3,20707,20603,27,73,44,138,100
5,4,21447,21343,34,66,61,159,100
5,5,22217,22121,26,74,46,145,100
5,6,23005,22909,17,83,29,141,100
6,1,23816,23718,30,70,46,137,100
6,2,24597,24491,30,70,43,133,100
6,3,25366,25262,33,67,47,142,100
6,4,26113,25998,27,73,56,154,100
6,5,26926,26806,36,64,49,133,100
6,6,27707,27586,35,65,65,147,100
