#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,778,774,27,73,50,139,100
1,2,1556,1539,32,68,53,148,100
1,3,2332,2312,34,66,59,146,100
1,4,3132,3105,34,66,57,146,100
1,5,3901,3874,30,70,48,140,100
1,6,4689,4660,31,69,56,143,100
2,1,5481,5443,40,60,60,142,100
2,2,6287,6237,31,69,49,139,100
2,3,7045,6991,38,62,68,161,100
2,4,7805,7757,33,67,48,140,100
2,5,8572,8528,35,65,60,143,100
2,6,9342,9302,23,77,34,147,100
3,1,10085,10037,39,61,70,160,100
3,2,10841,10793,26,74,46,148,100
3,3,11590,11538,35,65,59,150,100
3,4,12354,12303,33,67,55,141,100
3,5,13134,13073,30,70,51,151,100
3,6,13911,13844,32,68,52,143,100
4,1,14689,14617,30,70,49,144,100
4,2,15459,15379,37,63,65,149,100
4,3,16179,16098,22,78,39,151,100
4,4,16994,16915,32,68,43,131,100
4,5,17744,17650,36,64,63,155,100
4,6,18488,18384,31,69,57,151,100
5,1,19251,19140,28,72,53,147,100
5,2,20018,19912,28,72,50,143,100
5,3,20785,20671,36,64,58,148,100
5,4,21575,21453,40,60,70,142,100
5,5,22365,22246,32,68,63,149,100
5,6,23137,23017,24,76,45,151,100
6,1,23897,23776,35,65,54,150,100
6,2,24676,24552,27,73,38,143,100
6,3,25430,25303,34,66,58,153,100
6,4,26238,26102,31,69,49,142,100
6,5,27024,26881,34,66,48,135,100
6,6,27832,27693,26,74,43,135,100
