Played 139 out of 4900 games (3%): [37, 23] 
Played 140 out of 4900 games (3%): [39, 23] 
Played 141 out of 4900 games (3%): [40, 23] 
Played 142 out of 4900 games (3%): [40, 26] 
Played 143 out of 4900 games (3%): [41, 26] 
Played 144 out of 4900 games (3%): [42, 26] 
Played 145 out of 4900 games (3%): [42, 27] 
Played 146 out of 4900 games (3%): [43, 27] 
Played 147 out of 4900 games (3%): [43, 30] 
Played 148 out of 4900 games (3%): [43, 31] 
Played 149 out of 4900 games (3%): [44, 31] 
Played 150 out of 4900 games (3%): [46, 31] 
Played 151 out of 4900 games (3%): [46, 33] 
Played 152 out of 4900 games (3%): [46, 36] 
Played 153 out of 4900 games (3%): [47, 36] 
Played 154 out of 4900 games (3%): [47, 38] 
Played 155 out of 4900 games (3%): [48, 38] 
Played 156 out of 4900 games (3%): [49, 38] 
Played 157 out of 4900 games (3%): [50, 38] 
Played 158 out of 4900 games (3%): [51, 38] 
Played 159 out of 4900 games (3%): [51, 39] 
Played 160 out of 4900 games (3%): [52, 39] 
Played 161 out of 4900 games (3%): [53, 39] 
Played 162 out of 4900 games (3%): [54, 39] 
Played 163 out of 4900 games (3%): [55, 39] 
Played 164 out of 4900 games (3%): [55, 40] 
Played 165 out of 4900 games (3%): [56, 40] 
Played 166 out of 4900 games (3%): [56, 42] 
Played 167 out of 4900 games (3%): [57, 42] 
Played 168 out of 4900 games (3%): [58, 42] 
Played 169 out of 4900 games (3%): [59, 42] 
Played 170 out of 4900 games (3%): [60, 42] 
Played 171 out of 4900 games (3%): [63, 42] 
Played 172 out of 4900 games (4%): [65, 42] 
Played 173 out of 4900 games (4%): [67, 42] 
Played 174 out of 4900 games (4%): [68, 42] 
Played 175 out of 4900 games (4%): [69, 42] 
Played 176 out of 4900 games (4%): [71, 42] 
Played 177 out of 4900 games (4%): [72, 42] 
Played 178 out of 4900 games (4%): [73, 42] 
Played 179 out of 4900 games (4%): [74, 42] 
Played 180 out of 4900 games (4%): [77, 42] 
Played 181 out of 4900 games (4%): [77, 43] 
Played 182 out of 4900 games (4%): [79, 43] 
Played 183 out of 4900 games (4%): [80, 43] 
Played 184 out of 4900 games (4%): [81, 43] 
Played 185 out of 4900 games (4%): [83, 43] 
