Belief State,Depth,Wining Ratio
1,1,0.3951612903225806
1,2,0.404
1,3,0.34959349593495936
1,4,0.31983805668016196
1,5,0.3770491803278688
1,6,0.3983739837398374
1,7,0.32113821138211385
1,8,0.452
1,9,0.3940677966101695
1,10,0.39357429718875503
1,11,0.34274193548387094
1,12,0.43673469387755104
1,13,0.34552845528455284
1,14,0.3386454183266932
1,15,0.3877551020408163
1,16,0.3895582329317269
1,17,0.4262948207171315
1,18,0.38645418326693226
1,19,0.3724696356275304
1,20,0.3724696356275304
2,1,0.3795918367346939
2,2,0.3603238866396761
2,3,0.3925619834710744
2,4,0.37549407114624506
2,5,0.35714285714285715
2,6,0.34297520661157027
2,7,0.4083333333333333
2,8,0.39574468085106385
2,9,0.4083333333333333
2,10,0.4032258064516129
2,11,0.39920948616600793
2,12,0.34552845528455284
2,13,0.3765182186234818
2,14,0.3709677419354839
2,15,0.384297520661157
2,16,0.37916666666666665
2,17,0.3493975903614458
2,18,0.3684210526315789
2,19,0.41350210970464135
2,20,0.4322033898305085
3,1,0.4090909090909091
3,2,0.4110169491525424
3,3,0.4344262295081967
3,4,0.3661417322834646
3,5,0.3821138211382114
3,6,0.4190871369294606
3,7,0.32793522267206476
3,8,0.3487394957983193
3,9,0.3699186991869919
3,10,0.3347107438016529
