Belief State,Depth,Wining Ratio
1,1,0.7849462365591398
1,2,0.7604166666666666
1,3,0.7533783783783784
1,4,0.7937062937062938
1,5,0.7612456747404844
1,6,0.7437722419928826
1,7,0.7384105960264901
1,8,0.7797202797202797
1,9,0.7887788778877888
1,10,0.7394366197183099
1,11,0.7266187050359713
1,12,0.7377622377622378
1,13,0.7123745819397993
1,14,0.7466666666666667
1,15,0.7275862068965517
1,16,0.7796610169491526
1,17,0.7337662337662337
1,18,0.8297101449275363
1,19,0.7368421052631579
1,20,0.81
2,1,0.8074324324324325
2,2,0.7881944444444444
2,3,0.7672131147540984
2,4,0.7561837455830389
2,5,0.7889273356401384
2,6,0.7072368421052632
2,7,0.8156028368794326
2,8,0.7919463087248322
2,9,0.819672131147541
