Belief State,Depth,Wining Ratio
1,1,0.3010752688172043
1,2,0.27898550724637683
1,3,0.30656934306569344
1,4,0.3272058823529412
1,5,0.2805755395683453
1,6,0.26573426573426573
1,7,0.3246268656716418
1,8,0.22184300341296928
1,9,0.24825174825174826
1,10,0.3029197080291971
1,11,0.30597014925373134
1,12,0.2463768115942029
1,13,0.3057553956834532
1,14,0.2831541218637993
1,15,0.26595744680851063
1,16,0.2894736842105263
1,17,0.28719723183391005
1,18,0.2827586206896552
1,19,0.2841726618705036
1,20,0.23487544483985764
2,1,0.2872727272727273
2,2,0.3489208633093525
