Played 139 out of 4900 games (3%): [31, 13] 
Played 140 out of 4900 games (3%): [33, 13] 
Played 141 out of 4900 games (3%): [34, 13] 
Played 142 out of 4900 games (3%): [34, 14] 
Played 143 out of 4900 games (3%): [34, 15] 
Played 144 out of 4900 games (3%): [35, 15] 
Played 145 out of 4900 games (3%): [36, 15] 
Played 146 out of 4900 games (3%): [36, 16] 
Played 147 out of 4900 games (3%): [36, 18] 
Played 148 out of 4900 games (3%): [37, 18] 
Played 149 out of 4900 games (3%): [37, 19] 
Played 150 out of 4900 games (3%): [37, 20] 
Played 151 out of 4900 games (3%): [38, 20] 
Played 152 out of 4900 games (3%): [38, 21] 
Played 153 out of 4900 games (3%): [39, 21] 
Played 154 out of 4900 games (3%): [40, 21] 
Played 155 out of 4900 games (3%): [41, 21] 
Played 156 out of 4900 games (3%): [42, 21] 
Played 157 out of 4900 games (3%): [43, 21] 
Played 158 out of 4900 games (3%): [45, 21] 
Played 159 out of 4900 games (3%): [45, 22] 
Played 160 out of 4900 games (3%): [45, 23] 
Played 161 out of 4900 games (3%): [45, 24] 
Played 162 out of 4900 games (3%): [46, 24] 
Played 163 out of 4900 games (3%): [48, 24] 
Played 164 out of 4900 games (3%): [48, 25] 
Played 165 out of 4900 games (3%): [50, 25] 
Played 166 out of 4900 games (3%): [51, 25] 
Played 167 out of 4900 games (3%): [52, 25] 
Played 168 out of 4900 games (3%): [52, 26] 
Played 169 out of 4900 games (3%): [53, 26] 
Played 170 out of 4900 games (3%): [54, 26] 
Played 171 out of 4900 games (3%): [56, 26] 
Played 172 out of 4900 games (4%): [56, 28] 
Played 173 out of 4900 games (4%): [57, 28] 
Played 174 out of 4900 games (4%): [57, 29] 
Played 175 out of 4900 games (4%): [57, 30] 
Played 176 out of 4900 games (4%): [58, 30] 
Played 177 out of 4900 games (4%): [59, 30] 
Played 178 out of 4900 games (4%): [61, 30] 
Played 179 out of 4900 games (4%): [61, 31] 
Played 180 out of 4900 games (4%): [63, 31] 
Played 181 out of 4900 games (4%): [64, 31] 
Played 182 out of 4900 games (4%): [64, 33] 
Played 183 out of 4900 games (4%): [64, 34] 
Played 184 out of 4900 games (4%): [65, 34] 
Played 185 out of 4900 games (4%): [66, 34] 
Played 186 out of 4900 games (4%): [66, 36] 
Played 187 out of 4900 games (4%): [67, 36] 
Played 188 out of 4900 games (4%): [67, 38] 
Played 189 out of 4900 games (4%): [68, 38] 
Played 190 out of 4900 games (4%): [68, 39] 
Played 191 out of 4900 games (4%): [70, 39] 
Played 192 out of 4900 games (4%): [70, 40] 
Played 193 out of 4900 games (4%): [70, 41] 
Played 194 out of 4900 games (4%): [71, 41] 
Played 195 out of 4900 games (4%): [71, 42] 
Played 196 out of 4900 games (4%): [71, 43] 
Played 197 out of 4900 games (4%): [73, 43] 
Played 198 out of 4900 games (4%): [73, 44] 
Played 199 out of 4900 games (4%): [75, 44] 
Played 200 out of 4900 games (4%): [75, 45] 
Played 201 out of 4900 games (4%): [0, 1] 
Played 202 out of 4900 games (4%): [1, 1] 
Played 203 out of 4900 games (4%): [2, 1] 
Played 204 out of 4900 games (4%): [2, 2] 
Played 205 out of 4900 games (4%): [4, 2] 
Played 206 out of 4900 games (4%): [5, 2] 
Played 207 out of 4900 games (4%): [6, 2] 
Played 208 out of 4900 games (4%): [7, 2] 
Played 209 out of 4900 games (4%): [7, 3] 
Played 210 out of 4900 games (4%): [9, 3] 
Played 211 out of 4900 games (4%): [9, 5] 
Played 212 out of 4900 games (4%): [11, 5] 
Played 213 out of 4900 games (4%): [11, 6] 
Played 214 out of 4900 games (4%): [12, 6] 
Played 215 out of 4900 games (4%): [12, 7] 
Played 216 out of 4900 games (4%): [12, 8] 
Played 217 out of 4900 games (4%): [14, 8] 
Played 218 out of 4900 games (4%): [15, 8] 
Played 219 out of 4900 games (4%): [16, 8] 
Played 220 out of 4900 games (4%): [17, 8] 
Played 221 out of 4900 games (5%): [17, 9] 
Played 222 out of 4900 games (5%): [17, 10] 
Played 223 out of 4900 games (5%): [17, 11] 
Played 224 out of 4900 games (5%): [19, 11] 
Played 225 out of 4900 games (5%): [19, 12] 
Played 226 out of 4900 games (5%): [21, 12] 
Played 227 out of 4900 games (5%): [21, 14] 
Played 228 out of 4900 games (5%): [21, 15] 
Played 229 out of 4900 games (5%): [22, 15] 
Played 230 out of 4900 games (5%): [24, 15] 
Played 231 out of 4900 games (5%): [24, 16] 
Played 232 out of 4900 games (5%): [24, 17] 
Played 233 out of 4900 games (5%): [24, 18] 
Played 234 out of 4900 games (5%): [24, 19] 
Played 235 out of 4900 games (5%): [24, 20] 
Played 236 out of 4900 games (5%): [25, 20] 
Played 237 out of 4900 games (5%): [26, 20] 
Played 238 out of 4900 games (5%): [27, 20] 
Played 239 out of 4900 games (5%): [27, 21] 
Played 240 out of 4900 games (5%): [29, 21] 
Played 241 out of 4900 games (5%): [29, 22] 
Played 242 out of 4900 games (5%): [30, 22] 
Played 243 out of 4900 games (5%): [30, 23] 
Played 244 out of 4900 games (5%): [31, 23] 
Played 245 out of 4900 games (5%): [33, 23] 
Played 246 out of 4900 games (5%): [35, 23] 
Played 247 out of 4900 games (5%): [36, 23] 
Played 248 out of 4900 games (5%): [38, 23] 
Played 249 out of 4900 games (5%): [38, 24] 
Played 250 out of 4900 games (5%): [39, 24] 
Played 251 out of 4900 games (5%): [40, 24] 
Played 252 out of 4900 games (5%): [42, 24] 
Played 253 out of 4900 games (5%): [42, 25] 
Played 254 out of 4900 games (5%): [43, 25] 
Played 255 out of 4900 games (5%): [43, 26] 
Played 256 out of 4900 games (5%): [44, 26] 
Played 257 out of 4900 games (5%): [44, 27] 
Played 258 out of 4900 games (5%): [46, 27] 
Played 259 out of 4900 games (5%): [47, 27] 
Played 260 out of 4900 games (5%): [47, 28] 
Played 261 out of 4900 games (5%): [48, 28] 
Played 262 out of 4900 games (5%): [48, 29] 
Played 263 out of 4900 games (5%): [50, 29] 
Played 264 out of 4900 games (5%): [50, 30] 
Played 265 out of 4900 games (5%): [50, 31] 
Played 266 out of 4900 games (5%): [52, 31] 
Played 267 out of 4900 games (5%): [52, 33] 
Played 268 out of 4900 games (5%): [52, 34] 
Played 269 out of 4900 games (5%): [52, 35] 
Played 270 out of 4900 games (6%): [53, 35] 
Played 271 out of 4900 games (6%): [53, 36] 
Played 272 out of 4900 games (6%): [53, 37] 
Played 273 out of 4900 games (6%): [54, 37] 
Played 274 out of 4900 games (6%): [56, 37] 
Played 275 out of 4900 games (6%): [56, 38] 
Played 276 out of 4900 games (6%): [56, 39] 
Played 277 out of 4900 games (6%): [58, 39] 
Played 278 out of 4900 games (6%): [58, 40] 
Played 279 out of 4900 games (6%): [59, 40] 
Played 280 out of 4900 games (6%): [59, 41] 
Played 281 out of 4900 games (6%): [59, 43] 
Played 282 out of 4900 games (6%): [60, 43] 
Played 283 out of 4900 games (6%): [61, 43] 
Played 284 out of 4900 games (6%): [61, 44] 
Played 285 out of 4900 games (6%): [61, 45] 
Played 286 out of 4900 games (6%): [62, 45] 
Played 287 out of 4900 games (6%): [62, 46] 
Played 288 out of 4900 games (6%): [63, 46] 
Played 289 out of 4900 games (6%): [63, 47] 
Played 290 out of 4900 games (6%): [64, 47] 
Played 291 out of 4900 games (6%): [64, 48] 
Played 292 out of 4900 games (6%): [64, 49] 
Played 293 out of 4900 games (6%): [65, 49] 
Played 294 out of 4900 games (6%): [66, 49] 
Played 295 out of 4900 games (6%): [68, 49] 
Played 296 out of 4900 games (6%): [68, 50] 
Played 297 out of 4900 games (6%): [69, 50] 
Played 298 out of 4900 games (6%): [71, 50] 
Played 299 out of 4900 games (6%): [72, 50] 
Played 300 out of 4900 games (6%): [72, 51] 
Played 301 out of 4900 games (6%): [0, 1] 
Played 302 out of 4900 games (6%): [1, 1] 
Played 303 out of 4900 games (6%): [1, 3] 
Played 304 out of 4900 games (6%): [2, 3] 
Played 305 out of 4900 games (6%): [3, 3] 
Played 306 out of 4900 games (6%): [4, 3] 
Played 307 out of 4900 games (6%): [4, 4] 
Played 308 out of 4900 games (6%): [4, 5] 
Played 309 out of 4900 games (6%): [5, 5] 
Played 310 out of 4900 games (6%): [7, 5] 
Played 311 out of 4900 games (6%): [9, 5] 
Played 312 out of 4900 games (6%): [9, 6] 
Played 313 out of 4900 games (6%): [9, 8] 
Played 314 out of 4900 games (6%): [10, 8] 
