Playing 24200 games:
Played 133 out of 24200 games (1%): [122, 63] 
Played 134 out of 24200 games (1%): [123, 63] 
Played 135 out of 24200 games (1%): [124, 63] 
Played 136 out of 24200 games (1%): [126, 63] 
Played 137 out of 24200 games (1%): [127, 63] 
Played 138 out of 24200 games (1%): [127, 64] 
Played 139 out of 24200 games (1%): [129, 64] 
Played 140 out of 24200 games (1%): [131, 64] 
Played 141 out of 24200 games (1%): [132, 64] 
Played 142 out of 24200 games (1%): [132, 66] 
Played 143 out of 24200 games (1%): [134, 66] 
Played 144 out of 24200 games (1%): [136, 66] 
Played 145 out of 24200 games (1%): [136, 67] 
Played 146 out of 24200 games (1%): [138, 67] 
Played 147 out of 24200 games (1%): [139, 67] 
Played 148 out of 24200 games (1%): [141, 67] 
Played 149 out of 24200 games (1%): [141, 69] 
Played 150 out of 24200 games (1%): [143, 69] 
Played 151 out of 24200 games (1%): [143, 70] 
Played 152 out of 24200 games (1%): [144, 70] 
Played 153 out of 24200 games (1%): [145, 70] 
Played 154 out of 24200 games (1%): [146, 70] 
Played 155 out of 24200 games (1%): [146, 71] 
Played 156 out of 24200 games (1%): [147, 71] 
Played 157 out of 24200 games (1%): [148, 71] 
Played 158 out of 24200 games (1%): [148, 73] 
Played 159 out of 24200 games (1%): [149, 73] 
Played 160 out of 24200 games (1%): [150, 73] 
Played 161 out of 24200 games (1%): [150, 74] 
Played 162 out of 24200 games (1%): [151, 74] 
Played 163 out of 24200 games (1%): [152, 74] 
Played 164 out of 24200 games (1%): [153, 74] 
Played 165 out of 24200 games (1%): [155, 74] 
Played 166 out of 24200 games (1%): [155, 75] 
Played 167 out of 24200 games (1%): [156, 75] 
Played 168 out of 24200 games (1%): [158, 75] 
Played 169 out of 24200 games (1%): [160, 75] 
Played 170 out of 24200 games (1%): [161, 75] 
Played 171 out of 24200 games (1%): [162, 75] 
Played 172 out of 24200 games (1%): [163, 75] 
Played 173 out of 24200 games (1%): [163, 76] 
Played 174 out of 24200 games (1%): [163, 78] 
Played 175 out of 24200 games (1%): [164, 78] 
Played 176 out of 24200 games (1%): [164, 80] 
Played 177 out of 24200 games (1%): [165, 80] 
Played 178 out of 24200 games (1%): [167, 80] 
Played 179 out of 24200 games (1%): [167, 82] 
Played 180 out of 24200 games (1%): [168, 82] 
Played 181 out of 24200 games (1%): [169, 82] 
Played 182 out of 24200 games (1%): [171, 82] 
Played 183 out of 24200 games (1%): [172, 82] 
Played 184 out of 24200 games (1%): [174, 82] 
Played 185 out of 24200 games (1%): [175, 82] 
Played 186 out of 24200 games (1%): [177, 82] 
Played 187 out of 24200 games (1%): [180, 82] 
Played 188 out of 24200 games (1%): [180, 83] 
Played 189 out of 24200 games (1%): [181, 83] 
