/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
Playing 24200 games:
Played 1 out of 24200 games (0%): [2, 0] 
Played 2 out of 24200 games (0%): [2, 1] 
Played 3 out of 24200 games (0%): [3, 1] 
Played 4 out of 24200 games (0%): [3, 3] 
Played 5 out of 24200 games (0%): [4, 3] 
Played 6 out of 24200 games (0%): [4, 6] 
Played 7 out of 24200 games (0%): [6, 6] 
Played 8 out of 24200 games (0%): [8, 6] 
Played 9 out of 24200 games (0%): [8, 7] 
Played 10 out of 24200 games (0%): [8, 8] 
Played 11 out of 24200 games (0%): [8, 9] 
Played 12 out of 24200 games (0%): [8, 10] 
Played 13 out of 24200 games (0%): [9, 10] 
Played 14 out of 24200 games (0%): [10, 10] 
Played 15 out of 24200 games (0%): [10, 11] 
Played 16 out of 24200 games (0%): [12, 11] 
Played 17 out of 24200 games (0%): [12, 14] 
Played 18 out of 24200 games (0%): [12, 17] 
Played 19 out of 24200 games (0%): [13, 17] 
Played 20 out of 24200 games (0%): [13, 20] 
Played 21 out of 24200 games (0%): [14, 20] 
Played 22 out of 24200 games (0%): [14, 22] 
Played 23 out of 24200 games (0%): [16, 22] 
Played 24 out of 24200 games (0%): [17, 22] 
Played 25 out of 24200 games (0%): [18, 22] 
Played 26 out of 24200 games (0%): [18, 24] 
Played 27 out of 24200 games (0%): [19, 24] 
Played 28 out of 24200 games (0%): [20, 24] 
Played 29 out of 24200 games (0%): [21, 24] 
Played 30 out of 24200 games (0%): [22, 24] 
Played 31 out of 24200 games (0%): [22, 25] 
Played 32 out of 24200 games (0%): [23, 25] 
Played 33 out of 24200 games (0%): [23, 26] 
Played 34 out of 24200 games (0%): [23, 27] 
Played 35 out of 24200 games (0%): [24, 27] 
Played 36 out of 24200 games (0%): [26, 27] 
Played 37 out of 24200 games (0%): [28, 27] 
Played 38 out of 24200 games (0%): [31, 27] 
Played 39 out of 24200 games (0%): [31, 28] 
Played 40 out of 24200 games (0%): [31, 31] 
Played 41 out of 24200 games (0%): [31, 33] 
Played 42 out of 24200 games (0%): [33, 33] 
Played 43 out of 24200 games (0%): [34, 33] 
Played 44 out of 24200 games (0%): [34, 35] 
Played 45 out of 24200 games (0%): [34, 36] 
Played 46 out of 24200 games (0%): [34, 39] 
Played 47 out of 24200 games (0%): [34, 40] 
Played 48 out of 24200 games (0%): [35, 40] 
Played 49 out of 24200 games (0%): [35, 41] 
Played 50 out of 24200 games (0%): [36, 41] 
Played 51 out of 24200 games (0%): [37, 41] 
Played 52 out of 24200 games (0%): [37, 42] 
