#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,653,652,22,78,30,187,100
1,2,1339,1335,23,77,29,176,100
1,3,2014,2016,22,78,27,180,100
1,4,2670,2674,18,82,29,188,100
1,5,3312,3319,12,88,19,199,100
1,6,4004,4005,17,83,23,180,100
2,1,4681,4678,17,83,24,189,100
2,2,5380,5372,28,72,49,188,100
2,3,6008,6001,22,78,37,194,100
2,4,6679,6672,20,80,25,179,100
2,5,7341,7325,14,86,26,185,100
2,6,8005,7980,20,80,33,196,100
3,1,8647,8616,13,87,21,198,100
3,2,9330,9297,18,82,29,177,100
3,3,9978,9937,24,76,35,187,100
3,4,10601,10556,19,81,31,193,100
3,5,11264,11215,12,88,18,183,100
3,6,11950,11895,21,79,28,176,100
4,1,12635,12579,20,80,31,188,100
4,2,13279,13215,17,83,29,202,100
4,3,13936,13866,23,77,36,190,100
4,4,14592,14518,17,83,27,194,100
4,5,15213,15137,16,84,26,199,100
4,6,15914,15836,22,78,33,176,100
5,1,16559,16479,12,88,17,194,100
5,2,17237,17157,19,81,28,181,100
5,3,17906,17815,24,76,45,193,100
5,4,18571,18470,15,85,20,184,100
5,5,19214,19106,20,80,29,182,100
5,6,19866,19760,19,81,31,190,100
6,1,20513,20406,16,84,24,194,100
6,2,21175,21070,16,84,20,180,100
6,3,21820,21715,12,88,19,193,100
6,4,22504,22407,18,82,27,177,100
6,5,23143,23044,18,82,28,197,100
6,6,23844,23749,23,77,37,182,100
